lincs_id	chembl_id
BRD-A09056319	CHEMBL709
BRD-A09062839	CHEMBL1740065
BRD-A09062839	CHEMBL2877213
BRD-A09164687	CHEMBL1624736
BRD-A09164687	CHEMBL2812343
BRD-A09349126	CHEMBL1357114
BRD-A09467419	CHEMBL1141477
BRD-A09467419	CHEMBL282121
BRD-A09467419	CHEMBL647097
BRD-A09472452	CHEMBL644140
BRD-A09472452	CHEMBL652
BRD-A09533288	CHEMBL1150539
BRD-A09533288	CHEMBL3308713
BRD-A09533288	CHEMBL616171
BRD-A09533288	CHEMBL6966
BRD-A09719808	CHEMBL3392476
BRD-A09722536	CHEMBL1122833
BRD-A09722536	CHEMBL620193
BRD-A09722536	CHEMBL88
BRD-A09828896	CHEMBL353335
BRD-A09925278	CHEMBL745667
BRD-A09925278	CHEMBL86882
BRD-A09984573	CHEMBL1589015
BRD-A09984573	CHEMBL2891546
BRD-A10070317	CHEMBL1128046
BRD-A10070317	CHEMBL27
BRD-A10070317	CHEMBL3308807
BRD-A10070317	CHEMBL616443
BRD-A10303790	CHEMBL1619785
BRD-A10303790	CHEMBL2821636
BRD-A10355991	CHEMBL1039
BRD-A10355991	CHEMBL734713
BRD-A10523515	CHEMBL375312
BRD-A10662413	CHEMBL1147785
BRD-A10662413	CHEMBL24072
BRD-A10662413	CHEMBL641136
BRD-A10715913	CHEMBL1992531
BRD-A10903566	CHEMBL347695
BRD-A10977446	CHEMBL1148771
BRD-A10977446	CHEMBL649921
BRD-A10977446	CHEMBL723
BRD-A11007541	CHEMBL2010464
BRD-A11007541	CHEMBL3226520
BRD-A11087911	CHEMBL1473289
BRD-A11095214	CHEMBL1332571
BRD-A11095214	CHEMBL1804230
BRD-A11170096	CHEMBL1617336
BRD-A11170096	CHEMBL2819196
BRD-A11483079	CHEMBL1610638
BRD-A11483079	CHEMBL2773252
BRD-A11512624	CHEMBL1408160
BRD-A11512624	CHEMBL2065486
BRD-A11605036	CHEMBL1705373
BRD-A11605036	CHEMBL2792496
BRD-A11678676	CHEMBL295038
BRD-A11678676	CHEMBL682549
BRD-A11706664	CHEMBL1314890
BRD-A11731846	CHEMBL1365711
BRD-A11731846	CHEMBL1924636
BRD-A11776908	CHEMBL356918
BRD-A11813248	CHEMBL1821711
BRD-A11813248	CHEMBL43527
BRD-A11813248	CHEMBL672785
BRD-A11929187	CHEMBL1484306
BRD-A11929187	CHEMBL3066420
BRD-A11968133	CHEMBL1085587
BRD-A11968133	CHEMBL1110106
BRD-A11990600	CHEMBL1145021
BRD-A11990600	CHEMBL580
BRD-A11990600	CHEMBL629245
BRD-A12016240	CHEMBL291046
BRD-A12016240	CHEMBL664645
BRD-A12083771	CHEMBL1459090
BRD-A12083771	CHEMBL2209808
BRD-A12230535	CHEMBL211045
BRD-A12409803	CHEMBL1921977
BRD-A12409803	CHEMBL2980595
BRD-A12426960	CHEMBL3185156
BRD-A12426960	CHEMBL4024476
BRD-A12633378	CHEMBL1703636
BRD-A12633378	CHEMBL2794670
BRD-A12643502	CHEMBL1425424
BRD-A12643502	CHEMBL2148875
BRD-A12832192	CHEMBL163484
BRD-A13084692	CHEMBL1150543
BRD-A13084692	CHEMBL3307669
BRD-A13084692	CHEMBL408
BRD-A13084692	CHEMBL615742
BRD-A13188892	CHEMBL648735
BRD-A13188892	CHEMBL707
BRD-A13195221	CHEMBL1448782
