compound_name	synonyms	species	strain	dosage	avg_lifespan_change	max_lifespan_change	gender	significance	pubmed_id	Comment	pref_name	chembl_id	pubchem_cid	DrugBank_id
LY-367,265	NA	Caenorhabditis elegans	NA	33µM	34	NA	NA	NA	24134630	NA	NA	CHEMBL1079460	NA	NA
Putrescine	NA	Caenorhabditis elegans	N2	1 mM	10	NA	NA	NA	25643626	NA	PUTRESCINE	CHEMBL46257	1045	DB01917
LY-294002	NA	Drosophila melanogaster	Canton S	5 µM	14	22.5	Male	NA	20017609	NA	LY-294002	CHEMBL98350	3973	DB02656
Huanshao dan	HSh	Caenorhabditis elegans	N2	6.8 g/L	38.3	NA	NA	NA	24952637	Mix	NA	NA	NA	NA
Clofibrate	NA	Caenorhabditis elegans	N2	10 µm	16	NA	NA	NA	23603800	NA	CLOFIBRATE	CHEMBL565	2796	DB00636
Resveratrol	NA	Saccharomyces cerevisiae	PSY316AT MAT_	10 µM	60.7	NA	NA	NA	12939617	NA	RESVERATROL	CHEMBL165	445154	DB02709
Pregnenolone	PREG	Caenorhabditis elegans	N2	60 µg/mL	20	NA	NA	NA	17266678	NA	PREGNENOLONE	CHEMBL253363	8955	DB02789
Bezafibrate	NA	Caenorhabditis elegans	N2	10 µm	13	NA	NA	NA	23603800	NA	BEZAFIBRATE	CHEMBL264374	39042	DB01393
Methylergonovine maleate	NA	Caenorhabditis elegans	NA	88µM	28	NA	NA	NA	24134630	NA	METHYLERGONOVINE MALEATE	CHEMBL1200843	5281072	DBSALT001025
Alpha-ketoglutarate	NA	Caenorhabditis elegans	N2	8 mM	29.4	NA	NA	NA	24828042	NA	NA	CHEMBL1686	NA	DB02926, DB03806
Beta-alanine	NA	Caenorhabditis elegans	N2	1 mM	13	NA	NA	NA	25643626	NA	BETA-ALANINE	CHEMBL297569	4755801, 239	DB03107
L-histidine methyl ester	NA	Caenorhabditis elegans	N2	100 µM	8	NA	NA	NA	25643626	NA	NA	CHEMBL54664	NA	NA
Ivabradine	NA	Mus musculus	C57BL/6J	50 mg/kg/day	6.2	NA	Male	NA	25589054	NA	IVABRADINE	CHEMBL471737	132999	DB09083
